item_number,accessory_group,accessory_part_number,accessory_description,accessory_image_url,raw_value
T1000C3800,Fittings,C02471038,"Pneufit C push-in fitting, swivel adaptor, elbow, G3/8, 10mm",https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg,"C02471038|https://cdn.norgren.com/images/243x/PH_FI_C02470405_w.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, G3/8, 10mm"
T1000C3800,Fittings,102671038,"Pneufit 10 push-in fitting, swivel adaptor, tee, G3/8, 10mm",https://cdn.norgren.com/images/243x/PH_FI_102670403_w.jpg,"102671038|https://cdn.norgren.com/images/243x/PH_FI_102670403_w.jpg|Pneufit 10 push-in fitting, swivel adaptor, tee, G3/8, 10mm"
T1000C3800,Tubing,PE2-0010100,"Polyethylene (LLDPE) tubing, natural, 100m, 10mm",https://cdn.norgren.com/images/243x/PH_FI_PE-0%20Tube_243.jpg,"PE2-0010100|https://cdn.norgren.com/images/243x/PH_FI_PE-0%20Tube_243.jpg|Polyethylene (LLDPE) tubing, natural, 100m, 10mm"
T1000C3800,Tubing,PA2-0010025C,"Polyamide tube, natural, 25m, 10mm/7.5mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg,"PA2-0010025C|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008025C_243.jpg|Polyamide tube, natural, 25m, 10mm/7.5mm"
T1000C3800,Tubing,PS0010025,"Super flexible polyamide tube, natural, 25m, 10mm/8mm",https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg,"PS0010025|https://cdn.norgren.com/images/243x/PH_OT_PA2_0008100_243.jpg|Super flexible polyamide tube, natural, 25m, 10mm/8mm"
T1000C3800,Tubing,M/3314,Tube cutter,https://cdn.norgren.com/images/243x/Tube_cutter.jpg,M/3314|https://cdn.norgren.com/images/243x/Tube_cutter.jpg|Tube cutter
C/837,Fittings,D24250428,"Pneufit D acetal push-in fitting, adaptor, straight, 1/4 NPT, 1/4""",https://cdn.norgren.com/images/243x/P_F_D2125_243.jpg,"D24250428|https://cdn.norgren.com/images/243x/P_F_D2125_243.jpg|Pneufit D acetal push-in fitting, adaptor, straight, 1/4 NPT, 1/4"""
C/837,Fittings,C24470428,"Pneufit C push-in fitting, swivel adaptor, elbow, 1/4 NPT, 1/4""",https://cdn.norgren.com/images/243x/C2447.jpg,"C24470428|https://cdn.norgren.com/images/243x/C2447.jpg|Pneufit C push-in fitting, swivel adaptor, elbow, 1/4 NPT, 1/4"""
C/837,Fittings,124670428,"Pneufit 12 push-in fitting, swivel adaptor, tee, 1/4 NPT, 1/4""",https://cdn.norgren.com/images/243x/12-467-0218.jpg,"124670428|https://cdn.norgren.com/images/243x/12-467-0218.jpg|Pneufit 12 push-in fitting, swivel adaptor, tee, 1/4 NPT, 1/4"""
C/837,Tubing,PB0054100,"Nylon tubing, natural, 1/4""",https://cdn.norgren.com/images/243x/PH_PB0054100_NATURAL_Tubing.jpg,"PB0054100|https://cdn.norgren.com/images/243x/PH_PB0054100_NATURAL_Tubing.jpg|Nylon tubing, natural, 1/4"""
C/837,Tubing,PW0054100,"Polyurethane tube, natural, 1/4""",https://cdn.norgren.com/images/243x/PW-0056-100.jpg,"PW0054100|https://cdn.norgren.com/images/243x/PW-0056-100.jpg|Polyurethane tube, natural, 1/4"""
C/837,Tubing,M/3314,Tube cutter,https://cdn.norgren.com/images/243x/Tube_cutter.jpg,M/3314|https://cdn.norgren.com/images/243x/Tube_cutter.jpg|Tube cutter
